N, vanilla-consecutive-write-avx, vanilla-strided-write-avx, block-consecutive_write-avx-rowx24, block-strided-write-avx-4xrow, block-strided-write-avx-24xrow
24, 50.9061, 56.9014, 76.4567, 67.6352, 66.0385
48, 48.6988, 52.5103, 47.9896, 54.1127, 51.7411
96, 38.3966, 46.4512, 43.8267, 46.1621, 43.9034
192, 25.5461, 23.9101, 28.0992, 24.0397, 24.6871
384, 24.3942, 19.7523, 27.4695, 19.3401, 19.1603
768, 3.54352, 3.76233, 8.45711, 3.64503, 3.71698
1536, 3.32076, 3.38442, 5.8509, 3.35682, 3.52434
3072, 2.70388, 2.82602, 5.58337, 2.7986, 2.77374
6144, 2.41144, 2.63618, 5.40127, 2.62015, 2.53201
12288, 2.14402, 2.34189, 4.77817, 2.37075, 2.43249
24576, 1.64182, 2.04058, 4.07292, 1.97644, 1.93798
