N, vanilla-consecutive-write, vanilla-strided-write, block-consecutive_write-24x4, block-consecutive_write-48x4, block-consecutive_write-96x4, block-consecutive_write-rowx4, block-consecutive_write-24x8, block-consecutive_write-48x8, block-consecutive_write-96x8, block-consecutive_write-rowx8, block-consecutive_write-24x24, block-consecutive_write-48x24, block-consecutive_write-96x24, block-consecutive_write-rowx24, block-strided-writed-4x24
24, 45.0242, 48.0287, 44.5997, 44.9785, 44.8351, 44.4482, 46.7631, 46.8694, 44.6891, 45.8072, 39.4946, 44.5484, 49.1064, 51.0695, 43.4298
48, 37.6287, 42.8501, 31.7201, 39.434, 37.396, 39.6711, 33.7574, 34.2631, 34.1545, 36.0214, 40.2602, 42.3735, 43.8665, 43.6539, 38.5665
96, 32.1813, 29.1319, 20.9081, 38.7362, 36.5622, 34.0877, 23.8203, 24.294, 26.8446, 29.9732, 31.3122, 34.4377, 36.7621, 36.5717, 28.3653
192, 15.1315, 8.53651, 14.8792, 26.4127, 27.0191, 24.1775, 17.0123, 17.1716, 24.2166, 22.4708, 24.0254, 24.1093, 28.3648, 28.7823, 21.4795
384, 10.4394, 5.70839, 23.8184, 20.0328, 19.2363, 18.5636, 28.2396, 27.3309, 27.6425, 25.9818, 29.2905, 29.1133, 30.7349, 29.2235, 22.3657
768, 1.37853, 1.61356, 9.36306, 7.56957, 9.01228, 5.5499, 11.113, 8.18006, 10.8766, 10.0106, 8.85761, 9.73597, 10.2009, 10.8186, 11.0785
1536, 1.20083, 1.31429, 5.53599, 5.73386, 5.45994, 4.3627, 5.8548, 5.43999, 6.2377, 6.16618, 6.10657, 5.99013, 6.36092, 7.08648, 6.63082
3072, 0.823136, 1.02364, 4.72552, 4.4206, 4.99538, 3.44289, 5.22739, 5.20166, 5.4663, 5.19036, 4.49714, 5.0785, 5.5926, 6.34389, 5.86332
6144, 0.646727, 0.78873, 3.60467, 4.37332, 4.31566, 2.85594, 4.54815, 4.65034, 4.92695, 3.44494, 3.87739, 3.55485, 4.88945, 4.8981, 4.36538
12288, 0.521444, 0.645989, 3.71034, 4.35845, 4.3313, 2.30117, 4.12787, 4.29593, 4.34932, 3.69854, 3.0786, 3.9303, 4.38976, 4.98482, 5.04699
24576, 0.467076, 0.570841, 3.4486, 2.82533, 2.91099, 1.69264, 3.8402, 3.97722, 4.51829, 2.21696, 2.68028, 3.82246, 4.34416, 4.65542, 4.09715
