N, vanilla-consecutive-write, vanilla-strided-write, block-consecutive_write-24x4, block-consecutive_write-48x4, block-consecutive_write-96x4, block-consecutive_write-rowx4, block-consecutive_write-24x8, block-consecutive_write-48x8, block-consecutive_write-96x8, block-consecutive_write-rowx8, block-consecutive_write-24x24, block-consecutive_write-48x24, block-consecutive_write-96x24, block-consecutive_write-rowx24, block-strided-writed-4x24
24, 27.328, 19.7387, 23.1066, 22.959, 23.1544, 23.1714, 31.666, 29.8415, 28.8711, 29.4424, 27.8406, 27.809, 27.8824, 27.4648, 23.7108
48, 24.7543, 20.174, 22.8646, 26.1761, 27.06, 26.9129, 29.9138, 29.9146, 30.2387, 31.7062, 27.7033, 28.211, 28.3323, 28.3488, 23.7029
96, 23.2272, 21.8688, 23.146, 25.6817, 27.5811, 30.198, 31.8055, 33.5121, 36.4346, 36.0998, 27.8321, 28.0033, 28.5107, 28.3907, 23.8218
192, 14.9472, 8.5103, 14.5458, 15.1021, 15.1968, 19.6829, 15.8114, 16.5734, 24.6857, 25.2404, 23.2735, 23.7506, 25.1634, 25.2557, 21.3327
384, 10.4697, 5.68469, 11.2065, 16.0224, 16.3589, 14.6363, 12.8887, 20.967, 22.7171, 20.9877, 20.6534, 23.8228, 23.9699, 23.8436, 19.3851
768, 0.97338, 1.03174, 5.97593, 5.84168, 6.7378, 3.59175, 7.26771, 7.23539, 7.10068, 5.84763, 7.34297, 8.35342, 9.17306, 8.70587, 9.14229
1536, 0.92137, 1.00066, 4.11665, 4.449, 4.68781, 3.20269, 4.84249, 4.29971, 4.99377, 4.49353, 4.63965, 5.07103, 5.47088, 5.33525, 5.434
3072, 0.728884, 0.850303, 3.78603, 4.29266, 4.26875, 2.59986, 4.09146, 4.07654, 4.79272, 3.80341, 3.82034, 4.36467, 5.03571, 4.704, 4.68772
6144, 0.644858, 0.71953, 3.51425, 4.07123, 4.05796, 2.41335, 3.75166, 3.9934, 4.52346, 3.71422, 3.64603, 4.18923, 4.50732, 4.37315, 4.28106
12288, 0.534348, 0.627427, 3.45592, 3.67469, 3.67641, 2.17079, 3.83873, 3.79259, 4.08622, 3.40885, 3.4644, 3.87226, 4.13901, 4.17156, 4.10207
24576, 0.488436, 0.595129, 2.90254, 2.81328, 2.78976, 2.00712, 2.67703, 3.49423, 4.07185, 3.07837, 2.95038, 3.55952, 4.21433, 3.76048, 3.40642
